map:159
grid11	-7281.0	3633.0
grid11	-7284.0	3635.0
grid11	-7284.0	3635.0
grid11	-7291.0	3638.0
grid11	-7293.0	3641.0
grid11	-7295.0	3642.0
grid11	-7296.0	3644.0
grid11	-7296.0	3647.0
grid11	-7298.0	3647.0
grid11	-7298.0	3651.0
grid11	-7280.0	3663.0
grid11	-7280.0	3661.0
grid11	-7280.0	3660.0
grid11	-7279.0	3658.0
grid11	-7276.0	3657.0
grid11	-7273.0	3656.0
grid11	-7272.0	3656.0
grid11	-7269.0	3653.0
grid11	-7268.0	3653.0
grid11	-7266.0	3651.0
grid11	-7264.0	3649.0
grid11	-7264.0	3647.0
grid11	-7264.0	3647.0
grid11	-7273.0	3638.0
grid11	-7273.0	3635.0
grid11	-7274.0	3634.0
grid11	-7274.0	3631.0
grid11	-7281.0	3633.0
NA	NA	NA
grid12	-7264.0	3608.0
grid12	-7241.0	3621.0
grid12	-7241.0	3621.0
grid12	-7233.0	3603.0
grid12	-7236.0	3607.0
grid12	-7248.0	3594.0
grid12	-7247.0	3593.0
grid12	-7251.0	3587.0
grid12	-7252.0	3588.0
grid12	-7253.0	3587.0
grid12	-7265.0	3601.0
grid12	-7264.0	3601.0
grid12	-7264.0	3603.0
grid12	-7264.0	3608.0
NA	NA	NA
grid13	-7125.0	3447.0
grid13	-7141.0	3456.0
grid13	-7144.0	3447.0
grid13	-7147.0	3446.0
grid13	-7153.0	3451.0
grid13	-7153.0	3463.0
grid13	-7156.0	3464.0
grid13	-7158.0	3466.0
grid13	-7159.0	3468.0
grid13	-7154.0	3468.0
grid13	-7151.0	3468.0
grid13	-7148.0	3468.0
grid13	-7147.0	3470.0
grid13	-7147.0	3474.0
grid13	-7135.0	3476.0
grid13	-7134.0	3477.0
grid13	-7134.0	3478.0
grid13	-7136.0	3480.0
grid13	-7136.0	3481.0
grid13	-7135.0	3484.0
grid13	-7127.0	3483.0
grid13	-7123.0	3483.0
grid13	-7120.0	3484.0
grid13	-7116.0	3485.0
grid13	-7108.0	3481.0
grid13	-7113.0	3464.0
grid13	-7114.0	3461.0
grid13	-7117.0	3461.0
grid13	-7118.0	3462.0
grid13	-7119.0	3461.0
grid13	-7120.0	3456.0
grid13	-7125.0	3456.0
grid13	-7125.0	3454.0
grid13	-7127.0	3452.0
grid13	-7127.0	3451.0
grid13	-7126.0	3451.0
grid13	-7125.0	3449.0
grid13	-7125.0	3449.0
grid13	-7125.0	3447.0
NA	NA	NA
grid14	-7270.0	3452.0
grid14	-7268.0	3452.0
grid14	-7266.0	3451.0
grid14	-7264.0	3449.0
grid14	-7262.0	3449.0
grid14	-7261.0	3448.0
grid14	-7260.0	3443.0
grid14	-7258.0	3440.0
grid14	-7258.0	3437.0
grid14	-7258.0	3434.0
grid14	-7256.0	3433.0
grid14	-7253.0	3431.0
grid14	-7252.0	3429.0
grid14	-7252.0	3428.0
grid14	-7254.0	3426.0
grid14	-7257.0	3426.0
grid14	-7258.0	3426.0
grid14	-7260.0	3426.0
grid14	-7260.0	3425.0
grid14	-7258.0	3423.0
grid14	-7258.0	3421.0
grid14	-7260.0	3420.0
grid14	-7262.0	3419.0
grid14	-7262.0	3417.0
grid14	-7262.0	3416.0
